model,dataset,num_hidden,add_edges_thres,val_loss,val_acc,test_loss,test_acc,activation,num_heads
node_GIN,pubmed,0,0.0,0.7709,0.708,0.7913,0.697,Tanh,none
node_GIN,pubmed,1,0.0,0.813,0.604,0.8517,0.569,Tanh,none
node_SOGNN,pubmed,1,0.0,1.1978,0.798,1.3639,0.768,Tanh,none
node_GCN,pubmed,1,0.0,0.6514,0.772,0.652,0.776,Tanh,none
node_SOGNN,pubmed,1,0.0,1.4022,0.758,1.5363,0.732,Tanh,none
node_SOGNN,pubmed,1,0.0,1.3003,0.772,1.4555,0.754,Tanh,none
node_SOGNN,pubmed,1,0.0,1.2473,0.788,1.3903,0.76,Tanh,none
node_GCN,cora,1,0.0,0.7525,0.784,0.6886,0.783,Tanh,none
node_SOGNN,cora,1,0.0,1.2008,0.786,0.9683,0.8,Tanh,none
node_GCN,cora,10,0.0,1.6221,0.76,1.5274,0.759,Tanh,none
node_SOGNN,cora,1,0.0,0.6866,0.788,0.6085,0.804,Tanh,none
node_GCN,pubmed,11,0.0,1.2784,0.784,1.3484,0.758,Tanh,none
node_SOGNN,cora,2,0.0,1.1271,0.782,1.0056,0.799,ReLU,none
node_SOGNN,cora,3,0.0,1.2702,0.774,1.2463,0.777,ReLU,none
node_GCN,cora,2,0.0,0.9094,0.746,0.7857,0.773,ReLU,none
node_GCN,cora,3,0.0,1.6721,0.636,1.5136,0.66,ReLU,none
node_SOGNN,cora,4,0.0,1.4392,0.762,1.3473,0.781,ReLU,none

