model,dataset,num_hidden,val_loss,val_acc,test_loss,test_acc,activation,distance
node_SOGNN,Actor,1,1.4987,0.3331,1.5222,0.3125,ReLU,3
node_SOGNN,Actor,1,1.517,0.3359,1.5396,0.3125,ELU,3
node_SOGNN,Actor,1,1.5195,0.3281,1.5437,0.3191,Tanh,3
node_SOGNN,Actor,2,1.5686,0.2595,1.5727,0.2546,ReLU,3
node_SOGNN,Actor,2,1.5664,0.2615,1.5746,0.252,ELU,3
node_SOGNN,Actor,2,1.5739,0.2595,1.5811,0.2546,Tanh,3
node_SOGNN,Actor,3,1.5797,0.2582,1.581,0.2546,ReLU,3
node_SOGNN,Actor,3,1.578,0.2582,1.5787,0.2539,ELU,3
node_SOGNN,Actor,3,1.5757,0.2582,1.579,0.2546,Tanh,3
node_SOGNN,Actor,5,1.579,0.2582,1.5813,0.2546,ReLU,3
node_SOGNN,Actor,5,1.5855,0.2582,1.5868,0.2546,ELU,3
node_SOGNN,Actor,5,1.5776,0.2582,1.5792,0.2546,Tanh,3
node_SOGNN,Actor,10,1.5704,0.2582,1.5746,0.2546,ReLU,3
node_SOGNN,Actor,10,1.572,0.2611,1.5732,0.2566,ELU,3
node_SOGNN,Actor,10,1.5719,0.2582,1.5754,0.2546,Tanh,3
node_SOGNN,Actor,1,1.4963,0.3396,1.5213,0.325,ReLU,4
node_SOGNN,Actor,1,1.513,0.3314,1.5365,0.3263,ELU,4
node_SOGNN,Actor,1,1.5149,0.3298,1.5391,0.3145,Tanh,4
node_SOGNN,Actor,2,1.5676,0.264,1.5715,0.2651,ReLU,4
node_SOGNN,Actor,2,1.5628,0.2599,1.5715,0.2533,ELU,4
node_SOGNN,Actor,2,1.5717,0.259,1.5793,0.2546,Tanh,4
node_SOGNN,Actor,3,1.5797,0.2582,1.5811,0.2546,ReLU,4
node_SOGNN,Actor,3,1.5765,0.2578,1.5778,0.2533,ELU,4
node_SOGNN,Actor,3,1.5756,0.2582,1.5792,0.2546,Tanh,4
node_SOGNN,Actor,5,1.5805,0.2582,1.5824,0.2546,ReLU,4
node_SOGNN,Actor,5,1.5852,0.2582,1.587,0.2546,ELU,4
node_SOGNN,Actor,5,1.5712,0.2582,1.5751,0.2546,Tanh,4
node_SOGNN,Actor,10,1.5701,0.2582,1.5749,0.2546,ReLU,4
node_SOGNN,Actor,10,1.5722,0.266,1.5735,0.2487,ELU,4
node_SOGNN,Actor,10,1.5722,0.2582,1.5766,0.2546,Tanh,4
node_SOGNN,Actor,1,1.4977,0.3339,1.5201,0.3211,ReLU,5
node_SOGNN,Actor,1,1.5147,0.3351,1.535,0.3171,ELU,5
